Src ID,Dst ID
0,58
0,59
0,61
0,103
0,107
1,59
1,61
1,101
1,102
2,59
2,98
2,99
3,58
3,79
3,80
4,58
4,59
4,110
4,80
4,81
5,59
5,60
5,81
5,82
6,45
6,59
6,60
6,83
6,84
6,82
7,71
7,76
7,87
7,123
7,124
8,76
8,125
8,126
9,76
9,128
9,129
10,76
10,130
10,131
11,76
11,132
11,133
11,134
12,55
12,76
12,136
12,137
13,76
13,139
13,140
14,75
14,140
14,141
15,68
15,76
15,192
15,90
16,70
16,75
16,190
16,191
17,70
17,75
17,121
17,122
18,68
18,69
18,116
18,117
18,118
19,65
19,69
19,70
19,75
19,193
19,112
19,118
20,65
20,70
20,113
20,114
20,167
21,68
21,59
21,93
21,94
22,67
22,68
22,97
22,115
23,65
23,68
23,69
23,112
23,113
23,116
24,65
24,183
24,182
25,26
25,65
25,62
25,180
25,181
25,182
26,65
26,62
26,179
26,180
26,181
27,64
27,173
27,174
28,64
28,174
28,175
29,65
29,171
29,172
30,65
30,66
30,170
30,171
31,74
31,75
31,156
31,157
31,158
31,159
32,74
32,75
32,160
32,161
33,51
33,74
33,75
33,162
33,163
34,75
34,155
34,156
35,75
35,152
35,153
36,75
36,150
36,151
37,75
37,147
37,148
38,56
38,75
38,144
38,145
39,40
39,55
39,76
39,131
39,132
40,55
40,76
40,138
40,137
41,55
41,76
41,132
41,135
42,43
42,56
42,75
42,149
43,56
43,75
43,143
43,144
44,56
44,75
44,145
44,146
44,149
45,46
45,60
45,83
45,82
46,47
46,60
47,60
47,81
48,49
48,65
48,66
48,171
49,50
49,66
50,66
50,75
50,169
51,74
51,75
51,162
51,156
52,65
52,62
52,184
52,182
53,59
53,61
53,99
54,71
54,86
54,124
55,76
55,138
55,132
55,135
55,136
55,137
56,75
56,143
56,144
56,145
56,146
56,149
57,58
57,77
57,108
57,109
57,104
57,105
57,106
57,107
58,59
58,77
58,110
58,104
58,105
58,106
58,78
58,79
58,80
59,68
59,61
59,83
59,84
59,110
59,92
59,93
59,94
59,95
59,96
59,98
59,99
59,100
59,101
59,102
59,103
59,80
59,81
59,82
60,83
60,81
60,82
61,108
61,99
61,100
61,101
61,102
61,103
61,107
62,65
62,184
62,179
62,180
62,181
62,182
63,64
63,184
63,185
63,186
63,176
63,177
63,178
63,179
64,65
64,187
64,186
64,172
64,173
64,174
64,175
64,176
64,177
64,178
65,70
65,183
65,184
65,187
65,112
65,113
65,114
65,166
65,167
65,168
65,170
65,171
65,172
65,177
65,178
65,179
65,180
65,181
65,182
66,75
66,169
66,170
66,171
67,111
67,96
67,97
67,115
68,76
68,192
68,89
68,90
68,91
68,92
68,93
68,94
68,95
68,96
68,97
68,115
68,116
68,117
68,118
68,119
68,120
69,75
69,193
69,112
69,116
69,118
70,75
70,189
70,190
70,191
70,112
70,113
70,114
70,118
70,120
70,121
70,122
70,167
70,168
71,76
71,86
71,124
72,76
72,84
72,88
72,89
72,91
72,92
72,85
73,75
73,188
73,164
73,166
73,168
74,75
74,162
74,156
74,157
74,158
74,159
74,160
74,161
75,189
75,190
75,191
75,193
75,143
75,169
75,162
75,163
75,118
75,188
75,120
75,121
75,122
75,140
75,141
75,142
75,144
75,145
75,146
75,147
75,148
75,149
75,150
75,151
75,152
75,153
75,154
75,155
75,156
75,157
75,158
75,159
75,160
75,161
75,164
75,165
75,166
75,168
76,86
76,192
76,87
76,138
76,127
76,88
76,89
76,90
76,91
76,85
76,119
76,120
76,123
76,124
76,125
76,126
76,128
76,129
76,130
76,131
76,132
76,133
76,134
76,135
76,136
76,137
76,139
76,140
76,142
77,109
77,104
77,78
78,104
78,79
82,83
84,92
84,85
85,86
85,88
85,92
86,88
87,86
89,91
90,91
91,92
92,93
94,95
95,96
96,111
97,96
98,96
99,100
100,101
102,103
105,106
106,108
106,107
107,108
108,109
110,80
111,112
113,112
113,114
115,112
116,115
117,118
118,119
118,122
119,192
120,119
120,121
123,124
124,125
126,127
128,127
129,130
131,132
132,133
134,135
135,136
137,138
138,139
141,143
142,120
142,140
143,144
145,146
146,147
148,149
149,150
151,152
153,154
154,155
157,156
158,159
159,160
161,162
163,188
163,164
164,188
164,165
166,168
167,168
168,169
168,170
169,170
172,173
175,186
175,176
176,186
177,178
178,184
178,179
179,184
180,181
183,112
184,185
185,186
187,172
188,168
189,190
189,168
193,118
194,195
194,115
195,112
