Node ID,Element ID,Dim 1,Dim 2,Dim 3,Volume,Cross-section dimensions are too small,Cross-section dimensions are too big,Element too slender (long for its cross-section),Element with too wide a span,Element difficult to execute on-site,Element too expensive to execute,Element's position in space is not optimal,Redundant element,Other,Element Points
0,B23,270,30,45,0.364365894039739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,B3,585.298013245034,20,45,0.508768211920539,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
2,B4,240,20,45,0.211500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,B5,650,20,45,0.58500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,B6,584.890858533922,20,45,0.497997119473104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,B7,240,20,45,0.216000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,B8,644.867549668872,20,45,0.580380794701995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,B9,375.430463576161,20,45,0.31538741721855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,B10,426.901394353828,20,45,0.341461254918453,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
9,B11,429.701986754966,20,45,0.368731788079481,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
10,B24,306.642094256269,30,45,0.364016827245967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,B25,330,30,45,0.361087594908362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,B12,600.397350993378,20,45,0.522357615894049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
13,B1,157.235099337747,20,35,0.0908145695364247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,B26,270,30,45,0.363695364238413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,B13,585.43046357616,20,45,0.508887417218553,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5
16,B14,240,20,45,0.211500000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,B15,650,20,45,0.58500000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,B16,584.890858533922,20,45,0.497997119473102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,B17,240,20,45,0.216000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,B18,644.867549668872,20,45,0.562380794701999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
